"sample","function_type","function_id","function_label","count"
"A5","product","product:SDR family oxidoreductase","product|product:SDR family oxidoreductase",1
"A5","product","product:Secreted protein","product|product:Secreted protein",12
"A5","product","product:Transcriptional regulator","product|product:Transcriptional regulator",16
"A5","product","product:Transporter","product|product:Transporter",5
"A5","product","product:Transposase","product|product:Transposase",3
"A5","product","product:dUTP diphosphatase","product|product:dUTP diphosphatase",1
"A5","product","product:histidine kinase","product|product:histidine kinase",9
"A5","product","product:phosphoribosylformylglycinamidine synthase subunit PurQ","product|product:phosphoribosylformylglycinamidine synthase subunit PurQ",1
"B2","ec","ec:1.6.5.9","ec|ec:1.6.5.9",2
"B2","ec","ec:2.1.1.-","ec|ec:2.1.1.-",1
"B2","ec","ec:2.1.1.170","ec|ec:2.1.1.170",1
"B2","ec","ec:2.4.2.9","ec|ec:2.4.2.9",3
"B2","ec","ec:2.7.7.6","ec|ec:2.7.7.6",3
"B2","ec","ec:2.7.7.7","ec|ec:2.7.7.7",1
"B2","ec","ec:2.7.8.-","ec|ec:2.7.8.-",2
"B2","ec","ec:3.1.-.-","ec|ec:3.1.-.-",4
"B2","ec","ec:3.1.21.10","ec|ec:3.1.21.10",2
"B2","ec","ec:3.4.24.-","ec|ec:3.4.24.-",1
"B2","ec","ec:3.5.1.2","ec|ec:3.5.1.2",1
"B2","ec","ec:3.5.1.88","ec|ec:3.5.1.88",1
"B2","ec","ec:3.6.1.-","ec|ec:3.6.1.-",1
"B2","ec","ec:3.6.4.-","ec|ec:3.6.4.-",1
"B2","ec","ec:3.6.4.12","ec|ec:3.6.4.12",2
"B2","ec","ec:3.6.5.-","ec|ec:3.6.5.-",2
"B2","ec","ec:5.4.99.62","ec|ec:5.4.99.62",1
"B2","ec","ec:5.6.2.3","ec|ec:5.6.2.3",1
"B2","ec","ec:6.3.5.3","ec|ec:6.3.5.3",3
"B2","ec","ec:7.1.2.2","ec|ec:7.1.2.2",4
"B2","go","go:0000049","go|go:0000049",9
"B2","go","go:0000105","go|go:0000105",5
"B2","go","go:0000166","go|go:0000166",6
"B2","go","go:0000287","go|go:0000287",18
"B2","go","go:0000314","go|go:0000314",2
"B2","go","go:0000428","go|go:0000428",3
"B2","go","go:0000917","go|go:0000917",2
"B2","go","go:0000976","go|go:0000976",2
"B2","ko","ko:K01126","ko|ko:K01126",2
"B2","ko","ko:K01462","ko|ko:K01462",1
"B2","ko","ko:K02314","ko|ko:K02314",1
"B2","ko","ko:K02834","ko|ko:K02834",2
"B2","ko","ko:K02864","ko|ko:K02864",1
"B2","ko","ko:K02874","ko|ko:K02874",1
"B2","ko","ko:K02913","ko|ko:K02913",2
"B2","ko","ko:K02948","ko|ko:K02948",1
"B2","ko","ko:K02950","ko|ko:K02950",1
